koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,koi_kepmag
CONFIRMED,1,0,0,0,0,7.8774163,176.3759,0.041,2.0805,1306.1,2.16,553,22.18,38.7,1,q1_q17_dr25_tce,4126,4.661,0.615,15.095
CONFIRMED,1,0,0,0,0,36.4454001,151.60125,0.028,4.007,1122.3,1.99,332,2.88,21.7,3,q1_q17_dr25_tce,4126,4.661,0.615,15.095
CONFIRMED,1,0,0,0,0,3.728732147,171.793255,0.558,2.683,5226.5,6.02,1023,258.34,345.2,1,q1_q17_dr25_tce,5497,4.577,0.809,15.523
CONFIRMED,1,0,0,0,0,2.243380573,170.679233,0.915,1.1196,821.7,1.99,822,107.6,38.9,1,q1_q17_dr25_tce,4149,4.698,0.564,15.135
FALSE POSITIVE,0,0,1,0,0,10.40599802,177.197466,0.324,6.5036,14489,11.23,833,113.94,745.2,1,q1_q17_dr25_tce,5746,4.393,0.924,15.562
CONFIRMED,1,0,0,0,0,2.337437946,171.761982,0.28,1.9982,971.2,2.34,1070,311.16,82.4,1,q1_q17_dr25_tce,5005,4.595,0.765,15.334
CONFIRMED,1,0,0,0,0,11.59822233,180.395376,0.679,2.5237,2804.5,2.65,396,5.82,71,1,q1_q17_dr25_tce,3688,4.79,0.473,15.937
CONFIRMED,1,0,0,0,0,6.575315881,173.634044,0.39,4.3084,2793.3,5.31,1015,251.38,221.1,1,q1_q17_dr25_tce,5992,4.415,0.989,15.312
CONFIRMED,1,0,0,0,0,7.275040844,169.994217,0.547,7.5377,3001,4.86,833,113.64,312.1,1,q1_q17_dr25_tce,5485,4.556,0.867,15.08
CONFIRMED,1,0,0,0,0,19.27153892,186.77093,0.031,2.7594,1219.8,1.93,393,5.66,37.1,1,q1_q17_dr25_tce,4077,4.702,0.56,15.385
CONFIRMED,1,0,0,0,0,10.06524317,136.28906,0.628,1.369,1053.3,1.91,488,13.43,30.3,2,q1_q17_dr25_tce,4077,4.702,0.56,15.385
CONFIRMED,1,0,0,0,0,12.3935651,178.74725,0.883,3.8896,916.6,2.66,677,49.68,35.8,1,q1_q17_dr25_tce,5557,4.603,0.75,15.505
CONFIRMED,0.998,0,0,0,0,43.84439721,151.93538,0.852,6.802,615.2,2.87,531,18.77,83.7,2,q1_q17_dr25_tce,5854,4.406,1.012,12.882
FALSE POSITIVE,0,0,1,1,0,3.341913228,171.63943,1.213,3.813,725.3,21.55,1032,268.67,39,1,q1_q17_dr25_tce,5295,4.551,0.811,15.629
