koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,koi_kepmag
FALSE POSITIVE,0,0,1,0,0,121.5991278,137.27469,5.011,15.1596,10537,379.63,358,3.87,297,1,q1_q17_dr25_tce,6036,4.551,0.847,14.6
CONFIRMED,1,0,0,0,0,7.886632468,360.514132,0.048,5.2147,6331.2,8.99,996,232.07,392.3,1,q1_q17_dr25_tce,5847,4.304,1.135,15.014
CONFIRMED,1,0,0,0,0,8.027681123,360.171355,0.495,3.0942,8725.4,8.43,824,109.35,461.5,1,q1_q17_dr25_tce,5569,4.546,0.887,15.57
CONFIRMED,,0,0,0,0,704.962626,492.77178,0.8495,18.003,2319.1,4.53,178,0.24,96.1,,,5305,4.489,0.818,13.354
CONFIRMED,0.936,0,0,0,0,50.28635977,167.63351,0.018,6.3212,1119.3,3.88,543,20.59,99.5,1,q1_q17_dr25_tce,5900,4.309,1.167,13.672
CONFIRMED,1,0,0,0,0,22.79020351,138.68515,0.036,5.0394,617.9,2.57,634,38.27,47.7,1,q1_q17_dr25_tce,5478,4.354,1.053,14.766
CONFIRMED,1,0,0,0,0,13.26079792,139.0988,0.22,3.912,199.4,1.47,760,78.79,17.6,2,q1_q17_dr25_tce,5478,4.354,1.053,14.766
FALSE POSITIVE,0,0,1,1,1,1.061932545,133.850441,0.713,2.1429,133.6,2.29,2508,9391.15,80.2,1,q1_q17_dr25_tce,6134,3.975,1.851,12.953
CONFIRMED,1,0,0,0,0,127.8334997,293.41845,0.416,10.914,1829.9,9.46,554,22.21,76.9,1,q1_q17_dr25_tce,6505,3.973,2.17,13.968
CONFIRMED,1,0,0,0,0,10.21864532,136.8622,0.416,3.802,445.3,2.33,920,169.13,26.6,1,q1_q17_dr25_tce,6100,4.376,1.083,14.82
CONFIRMED,1,0,0,0,0,15.573637,132.44282,0.946,5.326,468.1,2.94,799,96.38,24.7,2,q1_q17_dr25_tce,6100,4.376,1.083,14.82
CONFIRMED,1,0,0,0,0,40.1015561,132.71244,0.868,5.246,550,2.92,583,27.31,19,3,q1_q17_dr25_tce,6100,4.376,1.083,14.82
CONFIRMED,1,0,0,0,0,4.45814897,134.39743,0.754,2.867,188.1,1.61,1212,511.6,14.3,4,q1_q17_dr25_tce,6100,4.376,1.083,14.82
FALSE POSITIVE,0,0,1,1,1,5.663621501,133.89009,0.169,1.2968,1225,2.47,774,84.76,39.8,1,q1_q17_dr25_tce,4917,4.601,0.723,15.444
CONFIRMED,1,0,0,0,0,6.230335,181.29566,0.808,1.6493,1449.2,3.7,875,138.33,31.6,1,q1_q17_dr25_tce,5477,4.557,0.865,15.977
CONFIRMED,1,0,0,0,0,12.49340725,138.462232,0.594,2.2614,715.7,2.2,649,42.08,76.2,1,q1_q17_dr25_tce,5207,4.561,0.795,13.575
CONFIRMED,1,0,0,0,0,6.62643441,183.98789,0.111,3.1752,814.6,2.54,895,151.59,40.6,1,q1_q17_dr25_tce,5616,4.529,0.903,15.843
CONFIRMED,0.992,0,0,0,0,3.70122061,180.27172,0.178,2.523,327.4,1.62,1087,330.02,19.6,2,q1_q17_dr25_tce,5616,4.529,0.903,15.843
CONFIRMED,1,0,0,0,0,13.73474071,142.32752,0.941,2.769,746.4,2.71,634,38.11,31,1,q1_q17_dr25_tce,5196,4.524,0.772,15.187
CONFIRMED,1,0,0,0,0,14.55387488,134.11669,0.955,6.973,319.7,3.45,939,183.48,26.8,1,q1_q17_dr25_tce,6143,4.177,1.507,14.377
FALSE POSITIVE,0,0,1,1,1,0.895277575,133.411986,0.928,2.711,534.5,9.27,4253,77480.31,132.1,1,q1_q17_dr25_tce,8040,3.707,3.325,13.574
CONFIRMED,0.976,0,0,0,0,81.0637895,139.53492,0.584,3.001,476,3.01,511,16.12,19.4,4,q1_q17_dr25_tce,6198,4.237,1.324,13.914
CONFIRMED,1,0,0,0,0,24.8056775,145.07526,0.007,6.148,624.4,2.16,588,28.22,39.4,2,q1_q17_dr25_tce,5600,4.455,0.872,15.204
CONFIRMED,1,0,0,0,0,13.02493307,138.176157,0.004,4.5706,778.4,2.88,786,90.1,119.3,2,q1_q17_dr25_tce,5657,4.364,1.046,13.709
CONFIRMED,1,0,0,0,0,44.3471936,161.31738,0.273,6.43,791.7,2.45,484,13,40.5,1,q1_q17_dr25_tce,5600,4.455,0.872,15.204
CONFIRMED,0.896,0,0,0,0,9.2207691,138.0072,0.037,4.907,140,1.02,817,105.63,13.2,4,q1_q17_dr25_tce,5600,4.455,0.872,15.204
CONFIRMED,0.992,0,0,0,0,13.6396648,141.7301,0.105,5.425,162.7,1.1,717,62.6,13.3,3,q1_q17_dr25_tce,5600,4.455,0.872,15.204
CONFIRMED,1,0,0,0,0,1.922799706,134.50174,0.036,1.8604,259.7,1.28,1215,514.44,30.1,1,q1_q17_dr25_tce,5194,4.559,0.815,14.829
CONFIRMED,1,0,0,0,0,3.222975318,178.0701,0.33,2.9247,232.7,1.47,1239,558.65,31.3,1,q1_q17_dr25_tce,5823,4.427,0.96,14.609
CONFIRMED,1,0,0,0,0,4.16811839,134.89621,0.709,2.8084,263,2.28,1277,628.73,26.7,1,q1_q17_dr25_tce,5689,4.202,1.313,14.801
CONFIRMED,1,0,0,0,0,5.82348911,354.99602,0.877,2.2441,888.7,3,955,196.33,38.1,1,q1_q17_dr25_tce,5774,4.526,0.864,15.898
FALSE POSITIVE,0,0,1,1,0,9.41475056,142.32936,1.148,4.736,483.4,19.33,962,202.58,55.2,1,q1_q17_dr25_tce,6406,4.436,1.033,13.66
FALSE POSITIVE,,1,0,0,0,0.56669006,133.81294,0.7102,2.1674,104.6,1.52,2955,18023.71,53.8,,,6899,4.273,1.386,13.44
CONFIRMED,1,0,0,0,0,7.13969705,137.18652,0.027,3.981,512.9,2.24,965,205.23,27.8,1,q1_q17_dr25_tce,6014,4.486,0.993,15.906
CONFIRMED,1,0,0,0,0,18.75470238,141.7172,0.034,3.0331,995.3,1.67,382,5.03,33.2,1,q1_q17_dr25_tce,3976,4.721,0.54,15.473
FALSE POSITIVE,0.001,0,0,1,0,3.00363219,135.64129,0.727,3.732,101.2,1.43,1571,1441.44,38.5,1,q1_q17_dr25_tce,6309,4.217,1.32,12.476
CONFIRMED,0.997,0,0,0,0,11.30123036,134.91855,0.117,4.022,277.1,1.85,852,124.42,18.5,1,q1_q17_dr25_tce,5730,4.34,1.122,14.981
FALSE POSITIVE,0,0,1,1,1,0.796722833,133.07985,0.601,2.4551,107.1,1.44,2401,7844.64,43.9,1,q1_q17_dr25_tce,5959,4.121,1.334,13.379
CONFIRMED,1,0,0,0,0,4.24153629,133.45522,0.257,2.971,188.1,1.44,1177,452.95,18,1,q1_q17_dr25_tce,5776,4.34,1.047,14.621
CONFIRMED,1,0,0,0,0,17.32419108,142.09977,0.764,8.045,241.3,3.14,964,204.1,49.1,1,q1_q17_dr25_tce,5968,3.972,1.857,13.42
CONFIRMED,1,0,0,0,0,14.37457572,138.20189,0.035,4.7892,335.8,1.94,779,87.24,55.2,1,q1_q17_dr25_tce,5768,4.358,1.067,13.749
CONFIRMED,0.971,0,0,0,0,9.65188331,132.15947,0.122,4.296,103.2,1.08,890,148.32,19.8,2,q1_q17_dr25_tce,5768,4.358,1.067,13.749
FALSE POSITIVE,0,0,0,1,1,6.0990118,135.52357,0.688,3.6112,227.5,3.16,1374,842.53,39.3,1,q1_q17_dr25_tce,5743,3.881,1.971,13.951
CONFIRMED,0.989,0,0,0,0,49.4781446,141.82465,0.048,2.493,496.6,1.88,462,10.73,20.4,1,q1_q17_dr25_tce,5776,4.554,0.849,14.427
CONFIRMED,0.998,0,0,0,0,30.8639476,162.88077,0.907,8.864,256.5,3.01,743,72.05,63,1,q1_q17_dr25_tce,5977,4.08,1.571,12.547
CONFIRMED,1,0,0,0,0,2.403640701,134.73065,0.918,1.4012,74.9,1.24,1489,1164.85,16.3,2,q1_q17_dr25_tce,5881,4.315,1.171,13.431
FALSE POSITIVE,0,0,0,1,1,2.90060781,179.83386,0.47,2.563,124.8,1.58,1645,1727.31,20.6,1,q1_q17_dr25_tce,6547,4.241,1.371,13.887
CONFIRMED,1,0,0,0,0,4.51436096,134.0293,0.118,3.0083,230.7,1.84,1231,543.73,28.4,1,q1_q17_dr25_tce,5940,4.306,1.215,14.946
CONFIRMED,0.808,0,0,0,0,3.77359871,134.07013,0,2.7282,176,1.29,1270,614.52,25.6,1,q1_q17_dr25_tce,6224,4.404,0.969,14.207
CONFIRMED,1,0,0,0,0,8.18182189,134.81423,0.655,2.4566,299.6,1.77,981,218.9,27.4,2,q1_q17_dr25_tce,6224,4.404,0.969,14.207
CONFIRMED,0.999,0,0,0,0,13.32389352,135.24585,0.073,3.2208,781.3,1.26,378,4.83,25.9,1,q1_q17_dr25_tce,3751,4.813,0.45,15.931
CONFIRMED,1,0,0,0,0,4.919584997,134.602396,0.243,4.1988,425.7,2.86,1312,702.13,132,1,q1_q17_dr25_tce,6236,4.246,1.378,13.273
CONFIRMED,0.996,0,0,0,0,11.41911886,186.30498,0.947,5.135,509.2,3.32,921,170.33,23.7,1,q1_q17_dr25_tce,6311,4.398,1.172,15.965
CONFIRMED,1,0,0,0,0,11.36113254,136.92584,0.734,4.1886,569.5,2.6,869,134.97,57,1,q1_q17_dr25_tce,6244,4.46,1.009,14.63
FALSE POSITIVE,,1,0,0,0,1.3866358,134.3472,0.3783,4.77,70.1,0.72,1503,1205.94,6.8,,,5693,4.551,0.856,15.755
CONFIRMED,1,0,0,0,0,14.53410833,145.42643,0.766,3.3094,510.6,1.36,420,7.34,32.5,1,q1_q17_dr25_tce,3957,4.693,0.553,14.688
CONFIRMED,0.999,0,0,0,0,33.0063185,145.38821,0.39,7.118,278.1,3.13,778,86.38,38.2,2,q1_q17_dr25_tce,5968,3.972,1.857,13.42
CONFIRMED,1,0,0,0,0,11.13127159,134.36341,0.01,4.2372,211.2,2.06,952,194.31,36.8,1,q1_q17_dr25_tce,5800,4.202,1.435,13.459
FALSE POSITIVE,0,0,0,1,1,3.47143963,133.74061,0.719,3.663,99.8,1.19,1358,805.05,27.5,1,q1_q17_dr25_tce,6341,4.409,1.111,13.599
CONFIRMED,0.999,0,0,0,0,29.6193891,133.68205,0.046,4.9595,314.7,1.74,580,26.79,42.5,1,q1_q17_dr25_tce,5618,4.401,0.996,13.331
FALSE POSITIVE,,1,0,0,0,3.50376155,134.6825677,,3.16,,,,,,,,,,,14.463
CONFIRMED,1,0,0,0,0,8.925079516,139.71389,0.74,2.6766,977.5,2.36,628,36.89,135.8,2,q1_q17_dr25_tce,4728,4.628,0.693,13.461
CONFIRMED,0.998,0,0,0,0,8.0922105,138.04535,0.951,5.7696,65.3,1.44,1089,331.65,37.5,1,q1_q17_dr25_tce,5774,4.106,1.395,11.731
FALSE POSITIVE,0,0,1,0,1,3.117087797,134.684738,1.255,3.06941,12152,88.51,1842,2725.12,441.7,1,q1_q17_dr25_tce,6338,3.973,2.046,11.397
CONFIRMED,1,0,0,0,0,22.687155,148.455435,0.023,5.4921,960,3.2,653,42.95,122.8,3,q1_q17_dr25_tce,5657,4.364,1.046,13.709
FALSE POSITIVE,,0,1,0,0,0.937406378,134.726531,0.8735,1.9515,5079.6,7.09,1659,1790.11,138.9,1,q1_q17_dr24_tce,5480,4.529,0.843,14.546
FALSE POSITIVE,0,0,1,1,1,0.668483615,178.281377,1.269,2.0909,2899.8,29.53,1832,2642.17,161.2,1,q1_q17_dr25_tce,5546,4.575,0.81,15.905
FALSE POSITIVE,0,0,1,0,0,4.429633087,355.143546,1.264,3.0257,6120.1,32.12,950,192.62,166.3,1,q1_q17_dr25_tce,5344,4.545,0.809,15.91
FALSE POSITIVE,0,0,0,1,1,1.544927524,133.54909,0.533,1.0134,138.5,1.39,1824,2606.96,25.4,1,q1_q17_dr25_tce,6309,4.34,1.132,13.643
CONFIRMED,0.999,0,0,0,0,4.48758768,133.36092,0.532,2.874,112,1.37,1305,684.07,25.9,1,q1_q17_dr25_tce,6060,4.227,1.257,13.446
FALSE POSITIVE,,0,0,0,0,0.323021692,133.603668,1.1083,2.3442,47100,46.4,2545,9913.7,520.6,,,5458,4.381,0.972,11.234
FALSE POSITIVE,0,0,1,0,0,4.70818628,137.0593,1.082,3.278,56545,42.99,1046,282.41,24.7,1,q1_q17_dr25_tce,5868,4.53,0.894,13.279
FALSE POSITIVE,0,0,1,0,0,14.40585744,360.3847471,0.001,5.48509,30431,23.42,888,146.95,2294.1,1,q1_q17_dr25_tce,5945,4.196,1.346,14.808
FALSE POSITIVE,0,0,1,0,0,7.702374154,137.563452,3.346,3.8459,18377,225.25,825,109.38,157.2,1,q1_q17_dr25_tce,5598,4.565,0.83,15.144
CONFIRMED,1,0,0,0,0,16.56062577,133.49703,0.96,2.611,700.8,2.94,701,57.28,30.8,1,q1_q17_dr25_tce,5818,4.436,0.855,15.198
CONFIRMED,1,0,0,0,0,15.74958583,150.24579,0.637,4.6672,659.5,2.77,777,86.18,42.6,1,q1_q17_dr25_tce,6191,4.454,1.025,15.3
CONFIRMED,0.999,0,0,0,0,37.8145252,134.66424,0.845,9.109,412.5,3.04,626,36.25,57.9,1,q1_q17_dr25_tce,5988,4.278,1.314,13.601
CONFIRMED,0.986,0,0,0,0,12.64504291,138.63149,0.931,9.117,200.4,1.55,741,71.28,32.7,1,q1_q17_dr25_tce,5607,4.447,0.886,14.447
CONFIRMED,0.999,0,0,0,0,21.5262958,132.28787,0.804,8.392,190,1.36,621,35.03,23.4,2,q1_q17_dr25_tce,5607,4.447,0.886,14.447
CONFIRMED,0.935,0,0,0,0,33.8845825,159.98819,0.961,6.538,224.1,1.74,533,19.13,17.2,3,q1_q17_dr25_tce,5607,4.447,0.886,14.447
CONFIRMED,0.997,0,0,0,0,6.40087137,136.8824,0.861,2.5561,133.6,1.91,1109,357.44,24.4,1,q1_q17_dr25_tce,5426,4.107,1.421,12.988
CONFIRMED,1,0,0,0,0,30.1599411,138.51774,0.802,7.874,175.9,4.54,836,115.69,32.3,1,q1_q17_dr25_tce,5010,3.62,3.051,11.584
CONFIRMED,0.981,0,0,0,0,51.0771048,152.35694,0.498,11.233,141.5,3.66,702,57.28,24.1,2,q1_q17_dr25_tce,5010,3.62,3.051,11.584
FALSE POSITIVE,,1,0,0,0,4.2856756,134.4812,0.5445,4.059,31.4,2.13,1790,2429.13,8.3,,,5055,3.443,3.733,12.203
FALSE POSITIVE,0,0,1,0,0,7.388833611,133.9344039,0.799,5.62857,13064,10.66,877,139.94,1509.3,1,q1_q17_dr25_tce,5845,4.558,0.838,13.209
FALSE POSITIVE,0.285,0,1,0,0,2.698021895,136.32786,1.3,23.192,6721.2,52.51,1582,1481.76,647.1,1,q1_q17_dr25_tce,6568,4.36,1.211,13.717
CONFIRMED,1,0,0,0,0,117.931108,219.704226,0.615,5.8796,8506.6,10.36,418,7.2,212.5,1,q1_q17_dr25_tce,6392,4.425,1.072,15.128
FALSE POSITIVE,0,0,0,0,1,4.887806806,354.539481,0.561,2.4078,4676,5.71,918,167.54,116.1,1,q1_q17_dr25_tce,5284,4.523,0.812,15.399
FALSE POSITIVE,0,0,1,0,0,11.97360504,144.779315,1.3,4.3117,3822.9,38.2,820,106.83,172.9,1,q1_q17_dr25_tce,6146,4.497,0.943,15.175
FALSE POSITIVE,0,0,1,1,1,1.231364189,133.036618,0.995,5.8574,1097.1,5.39,1707,2005.15,229.7,1,q1_q17_dr25_tce,5897,4.429,0.891,14.97
FALSE POSITIVE,0,0,0,1,0,2.102416517,134.394943,1.236,1.7684,1502.5,29.29,1435,1003.06,94.3,1,q1_q17_dr25_tce,5999,4.494,0.959,15.642
FALSE POSITIVE,0,0,1,0,0,11.7031093,133.721698,1.279,2.0467,4201,37.3,811,102.47,126.6,1,q1_q17_dr25_tce,6014,4.494,0.958,15.003
FALSE POSITIVE,1,0,0,1,0,13.73808249,134.43787,0.957,3.354,660.7,3.84,912,163.52,68.4,1,q1_q17_dr25_tce,6375,4.292,1.178,13.805
FALSE POSITIVE,0,0,1,0,0,16.66216657,142.186468,7.444,3.8762,27442,843.45,834,114.41,114.5,1,q1_q17_dr25_tce,6440,4.38,1.169,13.344
FALSE POSITIVE,0,0,1,1,1,0.752159702,134.047229,1.272,2.3621,3425,43.73,2224,5767.22,291.1,1,q1_q17_dr25_tce,5916,4.296,1.175,11.884
FALSE POSITIVE,0,0,1,1,1,4.81886153,358.16338,0.924,6.223,1318.6,2.96,803,98.29,86.3,1,q1_q17_dr25_tce,5030,4.658,0.651,15.932
CONFIRMED,1,0,0,0,0,125.8654019,236.659731,0.101,9.0191,12390,12.37,394,5.71,544.7,1,q1_q17_dr25_tce,5933,4.342,1.115,13.956
CONFIRMED,1,0,0,0,0,34.5439452,132.68453,0.87,3.482,429.8,2.67,607,32.02,23.4,2,q1_q17_dr25_tce,5933,4.342,1.115,13.956
CONFIRMED,1,0,0,0,0,10.74241765,133.2867,0.034,6.0633,415.2,3.06,1008,243.94,95.4,1,q1_q17_dr25_tce,5761,4.091,1.518,13.438
FALSE POSITIVE,0,0,1,0,0,4.02378908,136.23411,0.715,3.237,32.1,2.24,2504,9293.19,36.1,1,q1_q17_dr25_tce,7516,3.651,3.685,10.083
FALSE POSITIVE,,0,0,0,0,0.312941621,133.810501,1.1789,2.0646,35262,58.02,3151,23300.36,413.9,,,6286,4.312,1.188,13.397
CONFIRMED,0.92,0,1,0,0,2.495780169,135.336948,0.133,4.2721,25070,15.75,1408,929.47,171.4,1,q1_q17_dr25_tce,6039,4.426,0.992,14.152
FALSE POSITIVE,0,0,1,0,0,8.428090255,358.303469,6.787,1.881,11356,517.43,817,105.54,183,1,q1_q17_dr25_tce,5761,4.573,0.805,15.977
FALSE POSITIVE,0,0,1,0,0,8.344104633,361.839209,10.047,1.8014,9695,836.31,785,89.55,89.7,1,q1_q17_dr25_tce,5447,4.559,0.838,15.734
FALSE POSITIVE,0,0,1,0,0,137.759605,173.16476,0.776,9.1713,83298,49.52,396,5.81,885.9,1,q1_q17_dr25_tce,5323,4.085,1.452,15.324
FALSE POSITIVE,0,0,1,0,0,2.155278342,133.576109,0.926,2.1064,20739,16.89,1272,620.67,142.7,1,q1_q17_dr25_tce,5665,4.568,0.82,13.997
FALSE POSITIVE,0,0,1,0,0,3.661326482,135.26995,0.812,2.5714,17846,12.07,1023,258.6,424.6,1,q1_q17_dr25_tce,5319,4.501,0.798,14.349
CONFIRMED,1,0,0,0,0,4.75400072,128.547155,0.672,2.5394,748.7,2,775,85.23,141.4,1,q1_q17_dr25_tce,4728,4.628,0.693,13.461
FALSE POSITIVE,,1,0,0,0,0.76973817,133.2965754,,2.5,,,,,,1,q1_q17_dr24_tce,,,,14.84
FALSE POSITIVE,1,0,1,0,0,165.739861,214.039466,0.263,24.9393,7343.4,57.54,692,54.1,527.8,1,q1_q17_dr25_tce,5019,2.99,6.836,12.263
FALSE POSITIVE,0,0,1,1,1,9.08937826,139.08364,0.982,6.255,779.8,5.35,1104,351.45,72.7,1,q1_q17_dr25_tce,6739,4.332,1.275,14.408
CONFIRMED,0.987,0,0,0,0,3.234699282,121.4865708,0.079,3.59385,10559,13.06,1356,797.62,3003.8,1,q1_q17_dr25_tce,5640,4.236,1.291,13.303
CONFIRMED,1,0,0,0,0,31.99552485,154.160745,0.69,4.2817,1376.1,4.12,582,27.17,128,1,q1_q17_dr25_tce,5657,4.364,1.046,13.709
FALSE POSITIVE,0.003,0,1,0,0,1.577800747,133.307724,1.332,2.1626,697.7,31.24,1513,1236.23,79.6,1,q1_q17_dr25_tce,6089,4.566,0.802,15.031
FALSE POSITIVE,0.565,0,1,0,0,2.380862632,135.3252117,0.664,4.20416,32634,21.65,1480,1133,2590.6,1,q1_q17_dr25_tce,5821,4.297,1.129,13.802
FALSE POSITIVE,0,0,0,1,1,1.752567456,134.47196,1.218,5.4993,607.3,26.56,1502,1202.54,92.2,1,q1_q17_dr25_tce,5739,4.433,0.996,14.449
CONFIRMED,0.995,0,0,0,0,51.92920654,151.93321,0.398,5.2637,3425.8,8.49,574,25.6,81.8,1,q1_q17_dr25_tce,5671,4.128,1.442,15.897
CONFIRMED,1,0,0,0,0,5.644914154,356.73699,0.445,2.2599,1397.9,2.66,744,72.38,63.9,1,q1_q17_dr25_tce,4769,4.622,0.714,15.505
CONFIRMED,1,0,0,0,0,3.105507835,133.210427,0.799,1.7458,904.6,2.68,980,217.91,178.6,1,q1_q17_dr25_tce,4989,4.585,0.791,13.341
FALSE POSITIVE,0,0,1,1,0,1.336109338,178.258786,1.28,1.7419,2204.3,35.19,1727,2106.49,150,1,q1_q17_dr25_tce,6119,4.46,0.967,15.507
CONFIRMED,1,0,0,0,0,5.841636615,135.92315,0.026,1.8734,1336.3,1.38,446,9.38,41.1,1,q1_q17_dr25_tce,3526,4.866,0.383,15.921
CONFIRMED,1,0,0,0,0,19.85029495,133.64933,0.217,2.8407,1607.5,1.52,297,1.83,34.4,2,q1_q17_dr25_tce,3526,4.866,0.383,15.921
CONFIRMED,1,0,0,0,0,15.27443889,147.57983,0.153,6.0765,206.7,2.17,896,152.62,40.3,2,q1_q17_dr25_tce,5761,4.091,1.518,13.438
FALSE POSITIVE,0,0,0,1,1,22.34293693,155.08552,0.001,7.0813,2691.1,2.92,399,6.01,35.3,1,q1_q17_dr25_tce,4260,4.663,0.58,15.719
FALSE POSITIVE,0,0,1,0,0,119.4081716,232.649303,0.915,9.3537,18563,16.26,328,2.72,508.4,1,q1_q17_dr25_tce,5316,4.477,0.872,14.427
FALSE POSITIVE,0,0,1,1,0,1.171536413,178.597581,0.973,1.5878,1132.7,7.12,2387,7673.2,67,1,q1_q17_dr25_tce,7021,4.275,1.485,15.634
FALSE POSITIVE,0,0,0,1,0,0.973547911,133.49742,1.097,2.2858,435.7,11.52,1814,2556.6,38.7,1,q1_q17_dr25_tce,6084,4.542,0.863,15.46
FALSE POSITIVE,0,0,1,1,1,3.053563251,133.88354,1.208,3.2551,508.4,21.79,1171,444.16,50.4,1,q1_q17_dr25_tce,5764,4.548,0.863,14.598
FALSE POSITIVE,0,0,0,1,1,1.031096352,133.93938,0.979,2.781,265.4,2.36,2020,3954.46,37.8,1,q1_q17_dr25_tce,6371,4.426,1.072,15.131
CONFIRMED,1,0,0,0,0,11.00817635,143.22611,0.025,2.013,1462.5,2.15,488,13.39,42.1,1,q1_q17_dr25_tce,4141,4.684,0.582,15.847
CONFIRMED,0,0,0,0,0,92.7495777,173.27975,0.019,5.506,1105.1,1.87,240,0.78,18,2,q1_q17_dr25_tce,4141,4.684,0.582,15.847
CONFIRMED,0.981,0,0,0,0,52.5008645,171.52114,0.11,14.9066,946.7,12.41,812,102.94,116.2,1,q1_q17_dr25_tce,4976,3.331,4.157,12.183
CONFIRMED,1,0,0,0,0,0.63133171,133.94488,0.726,1.1487,434.5,1.2,1322,726.72,95.8,1,q1_q17_dr25_tce,4441,4.71,0.53,14.285
CONFIRMED,1,0,0,0,0,12.69905011,184.9868,0.663,2.9899,797.4,2.62,686,52.55,30.4,1,q1_q17_dr25_tce,5291,4.489,0.882,15.824
CONFIRMED,0.999,0,0,0,0,8.74292005,358.59286,0.025,2.6277,779.5,1.92,643,40.33,30.7,2,q1_q17_dr25_tce,4769,4.622,0.714,15.505
CONFIRMED,1,0,0,0,0,3.64830183,355.39128,0.063,1.9985,371.7,1.33,860,129.44,19.9,3,q1_q17_dr25_tce,4769,4.622,0.714,15.505
CONFIRMED,0.933,0,0,0,0,2.345863002,354.11185,0.035,1.6795,316.7,1.23,997,233.38,19.6,4,q1_q17_dr25_tce,4769,4.622,0.714,15.505
CONFIRMED,1,0,0,0,0,37.1011418,370.4803,0.41,5.5556,1357.5,3.19,532,18.95,55.2,2,q1_q17_dr25_tce,5986,4.527,0.85,15.229
CONFIRMED,0.985,0,0,0,0,10.8644095,131.12833,0.763,1.853,748.7,1.14,363,4.09,16.8,3,q1_q17_dr25_tce,3526,4.866,0.383,15.921
CONFIRMED,1,0,0,0,0,124.4197175,150.59616,0.017,3.7197,4107,10.3,416,7.07,39.9,1,q1_q17_dr25_tce,5066,3.974,1.659,15.74
CONFIRMED,1,0,0,0,0,1.219568047,133.460233,0.067,1.5681,494.9,1.51,1252,578.96,65.9,1,q1_q17_dr25_tce,4838,4.625,0.701,15.127
CONFIRMED,1,0,0,0,0,2.05388477,133.73432,0.282,2.1635,546.7,2.74,1523,1271.11,50,1,q1_q17_dr25_tce,5632,4.282,1.176,15.269
CONFIRMED,1,0,0,0,0,38.86848956,171.30369,0.028,6.0573,1004.9,2.81,509,15.89,73.4,3,q1_q17_dr25_tce,5618,4.46,0.897,14.232
CONFIRMED,0.086,0,0,0,0,35.7353616,151.1133,0.878,8.491,778.8,5.47,774,84.66,58.4,2,q1_q17_dr25_tce,6366,4.045,1.697,13.659
CONFIRMED,0.242,0,0,0,0,12.30971679,137.68401,0.847,6.74,396,3.82,1104,350.46,45.9,1,q1_q17_dr25_tce,6366,4.045,1.697,13.659
CONFIRMED,,0,0,0,0,54.4205407,148.70471,0.9414,8.559,598,3.2,574,25.6,44.9,3,q1_q17_dr24_tce,6781,4.422,1.067,13.659
FALSE POSITIVE,,0,0,0,0,30.00908916,139.70643,,3.15,,,,,,,,,,,13.174
FALSE POSITIVE,0,0,1,1,1,14.32407216,364.39537,1.292,4.6577,2053.9,38.86,782,88.38,58,1,q1_q17_dr25_tce,6022,4.453,1.039,15.609
CONFIRMED,1,0,0,0,0,27.07237655,139.1127,0.015,6.9592,514.2,2.18,605,31.58,44,1,q1_q17_dr25_tce,5936,4.501,0.965,14.556
CONFIRMED,1,0,0,0,0,37.5142128,189.30015,0.366,5.303,935,2.68,478,12.38,28.9,2,q1_q17_dr25_tce,5291,4.489,0.882,15.824
CONFIRMED,1,0,0,0,0,55.6391882,187.55044,0.811,7.316,853,3.13,478,12.33,48.3,1,q1_q17_dr25_tce,5949,4.493,0.962,14.755
CONFIRMED,0.998,0,0,0,0,46.6856205,225.04604,0.217,6.3794,588.8,2.52,513,16.41,59,5,q1_q17_dr25_tce,5657,4.364,1.046,13.709
CONFIRMED,0.984,0,0,0,0,4.59726613,136.47837,0.033,2.909,313,1.69,1105,352.4,17,1,q1_q17_dr25_tce,5999,4.494,0.959,15.803
CONFIRMED,0.993,0,0,0,0,9.97716876,137.2361,0.002,5.908,252.9,2.53,1028,263.89,21.8,1,q1_q17_dr25_tce,5557,4.037,1.616,14.943
CONFIRMED,1,0,0,0,0,3.02168007,133.47243,0.349,2.8264,171.9,1.31,1332,744.35,32.9,1,q1_q17_dr25_tce,6201,4.472,0.989,14.429
FALSE POSITIVE,0,0,1,0,0,30.8825387,151.5295103,0.197,5.3737,24012,15.4,593,29.12,1266.2,1,q1_q17_dr25_tce,6014,4.486,0.993,14.857
FALSE POSITIVE,0,0,0,1,0,72.4914068,139.77857,0.989,3.612,1063.5,15.33,700,56.76,39.2,1,q1_q17_dr25_tce,5754,3.639,2.758,13.05
FALSE POSITIVE,0,0,1,0,0,4.93913074,135.05172,1.167,1.362,382.9,24.03,1182,461.47,22,1,q1_q17_dr25_tce,5956,4.324,1.17,14.832
CONFIRMED,1,0,0,0,0,2.240486703,137.82477,0.461,1.3988,436.3,1.22,837,115.98,33.8,1,q1_q17_dr25_tce,4198,4.689,0.574,15.224
CONFIRMED,0.855,0,0,0,0,105.0145774,228.94455,0.954,7.426,296,2.29,406,6.44,33.9,1,q1_q17_dr25_tce,5868,4.363,1.042,12.9
